experiment,subject,date,age,gender,payoff_scheme,context,trial,intervening,response,accuracy,partner_action,total_payment,contacts
1,1,2011-01-26,21,Male,Standard,Cooperation,97,14,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,98,16,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,99,12,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,100,14,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,111,NA,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,112,NA,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,113,NA,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,114,NA,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,115,NA,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,116,NA,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,117,NA,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,118,NA,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,119,NA,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,120,NA,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,121,2,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,122,8,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,123,7,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,124,4,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,125,12,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,126,5,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,127,9,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,128,13,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,129,12,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,130,18,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,131,2,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,132,8,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,133,7,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,134,4,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,135,12,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,136,5,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,137,9,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,138,13,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,139,12,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,140,18,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,141,2,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,142,8,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,143,7,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,144,4,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,145,12,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,146,5,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,147,9,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,148,13,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,149,12,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,150,18,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,151,2,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,152,8,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,153,7,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,154,4,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,155,12,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,156,5,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,157,9,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,158,13,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,159,12,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,160,18,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,161,2,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,162,8,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,163,7,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,164,4,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,165,12,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,166,5,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,167,9,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,168,13,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,169,12,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,170,18,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,171,2,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,172,8,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,173,7,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,174,4,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,175,12,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,176,5,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,177,9,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,178,13,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,179,12,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,180,18,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,181,2,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,182,8,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,183,7,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,184,4,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,185,12,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,186,5,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,187,9,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,188,13,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,189,12,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,190,18,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,191,2,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,192,8,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,193,7,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,194,4,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,195,12,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,196,5,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,197,9,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,198,13,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,199,12,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Neutral,200,18,0,1,Defect,9,416
1,2,2011-01-31,30,Male,Standard,Neutral,11,NA,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,12,NA,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,13,NA,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,14,NA,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,15,NA,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,16,NA,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,17,NA,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,18,NA,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,19,NA,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,20,NA,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,21,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,22,10,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,23,7,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,24,6,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,25,10,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,26,12,0,0,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,27,7,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,28,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,29,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,30,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,31,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,32,10,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,33,7,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,34,6,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,35,10,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,36,12,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,37,7,1,0,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,38,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,39,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,40,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,41,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,42,10,1,0,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,43,7,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,44,6,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,45,10,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,46,12,0,0,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,47,7,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,48,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,49,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,50,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,51,8,0,0,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,52,10,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,53,7,1,0,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,54,6,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,55,10,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,56,12,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,57,7,1,0,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,58,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,59,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,60,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,61,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,62,10,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,63,7,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,64,6,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,65,10,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,66,12,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,67,7,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,68,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,69,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,70,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,71,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,72,10,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,73,7,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,74,6,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,75,10,0,0,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,76,12,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,77,7,1,0,Defect,7.85,441
